"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"292","MMS22L",-9.30859121465757,4.26766339641762e-14,1.678857857351e-12,"-"
"293","C5orf17",-9.63368955829458,4.34018180235322e-14,1.70155864722292e-12,"-"
"294","KIAA1671",-12.3273313139017,4.52523319091749e-14,1.7680732538799e-12,"-"
"295","G6PD",-10.0388923703963,4.57848613770094e-14,1.78281594114477e-12,"-"
"296","TNIK",-11.5754377127015,4.73705600619395e-14,1.8383298088902e-12,"-"
"297","EFNA3",-10.0027232737239,4.81268166524875e-14,1.84819734198357e-12,"-"
"298","KHDRBS2",-10.8933972293201,4.80129632938144e-14,1.84819734198357e-12,"-"
"299","PNRC1",-10.0027232737239,4.81268166524875e-14,1.84819734198357e-12,"-"
"300","FCER2",-10.3276309395742,4.84293026845176e-14,1.84819734198357e-12,"-"
"301","PRMT1",-10.3276309395742,4.84293026845176e-14,1.84819734198357e-12,"-"
"302","MXI1",-12.1609390497165,4.94765904770848e-14,1.8757016330372e-12,"-"
"303","MIR762HG",-9.59215568413603,4.93282035319366e-14,1.8757016330372e-12,"-"
"304","COX7A2L",-9.48818953948047,5.10299608638872e-14,1.92822750145879e-12,"-"
"305","NNT-AS1",-11.4073744073757,5.18382677520162e-14,1.95234813661446e-12,"-"
"306","MIR1537",-12.0250603398079,5.66989772366539e-14,2.12843513567792e-12,"-"
"307","LOC644656",-9.5539987516685,5.81373812297007e-14,2.17532279539274e-12,"-"
"308","CCR7",-10.2003358829924,5.89658471570287e-14,2.19915807237918e-12,"-"
"309","HADHA",-9.94655911652793,5.95819258312569e-14,2.20779865168919e-12,"-"
"310","GPRACR",-9.94655911652793,5.95819258312569e-14,2.20779865168919e-12,"-"
"311","CBX7",-12.5425777123155,6.10016427159024e-14,2.2531378452655e-12,"-"
"312","ESYT1",-9.90860728800641,6.46521503456728e-14,2.36515685038453e-12,"-"
"313","CLK3",-9.90860728800641,6.46521503456728e-14,2.36515685038453e-12,"-"
"314","SLC35B1",-9.90860728800641,6.46521503456728e-14,2.36515685038453e-12,"-"
"315","SORL1",-11.6980149920029,6.55621642942909e-14,2.39083359126514e-12,"-"
