"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"289","LOC285889",-10.5862165253653,6.49793387740159e-11,5.11544242831305e-10,"-"
"290","TNRC6B",15.2566985603341,6.48500889319085e-11,5.11544242831305e-10,"+"
"291","RNU4ATAC",-13.0972700946727,6.61656613461873e-11,5.15550187212784e-10,"-"
"292","MTMR12",-13.2995439083522,6.58631336519123e-11,5.15550187212784e-10,"-"
"293","LOC101929613",10.5719941462316,6.60197410822878e-11,5.15550187212784e-10,"+"
"294","GAK",10.5578698403399,6.8108993618326e-11,5.24286682203564e-10,"+"
"295","ANKRD46",10.5457596822115,6.82054947938933e-11,5.24286682203564e-10,"+"
"296","SCN8A",10.5578698403399,6.8108993618326e-11,5.24286682203564e-10,"+"
"297","MXRA5",10.5578698403399,6.8108993618326e-11,5.24286682203564e-10,"+"
"298","ZBBX",10.555394146066,6.91445276657002e-11,5.27949687828741e-10,"+"
"299","LOC101928944",10.555394146066,6.91445276657002e-11,5.27949687828741e-10,"+"
"300","SARNP",10.546980353131,6.96140589612856e-11,5.29762988695384e-10,"+"
"301","L2HGDH",13.7316082076004,7.46329189907105e-11,5.66069614803296e-10,"+"
"302","MIR4458HG",-10.5082700006278,7.5389857711236e-11,5.66167911693263e-10,"-"
"303","LINC00602",-10.5082700006278,7.5389857711236e-11,5.66167911693263e-10,"-"
"304","LINC00477",-10.5082700006278,7.5389857711236e-11,5.66167911693263e-10,"-"
"305","CCDC187",-10.5047652179194,7.66425806628317e-11,5.73688562797524e-10,"-"
"306","MIR378G",10.5050332160814,7.7775944439642e-11,5.80269546260466e-10,"+"
"307","LINC00603",-12.3402476502438,8.01697133896932e-11,5.93674774315553e-10,"-"
"308","MEF2C",-13.919581217466,7.99057209471476e-11,5.93674774315553e-10,"-"
"309","LINC02227",-10.4867781472711,8.08729105616018e-11,5.93674774315553e-10,"-"
"310","UBR5-AS1",-10.4867781472711,8.08729105616018e-11,5.93674774315553e-10,"-"
"311","MIR4318",-10.4867781472711,8.08729105616018e-11,5.93674774315553e-10,"-"
"312","SPAG17",10.4694112944633,8.13990255239903e-11,5.95621715613045e-10,"+"
"313","TBPL1",-10.464899602355,8.19092770506388e-11,5.97440509605777e-10,"-"
"314","AHDC1",-13.2097603981588,8.30064235316882e-11,6.03514856442179e-10,"-"
"315","EPHB3",10.4512095444446,8.39300716476079e-11,6.06163087709192e-10,"+"
"316","TAS2R1",10.4512095444446,8.39300716476079e-11,6.06163087709192e-10,"+"
